STN_NAME,coords.x1,coords.x2
WOODLANDS NORTH MRT STATION,22699.9932,47770.39981
CANBERRA MRT STATION,27598.62177,47200.24193
EUNOS MRT STATION,35782.9553,33560.0776
CHINESE GARDEN MRT STATION,16790.7466,36056.3019
KHATIB MRT STATION,27962.3108,44352.568
KRANJI MRT STATION,20081.6974,45214.5479
REDHILL MRT STATION,26163.478,30218.8196
YEW TEE MRT STATION,18438.9791,42158.0124
PIONEER MRT STATION,12864.9592,35529.4973
COMMONWEALTH MRT STATION,24103.2523,31642.6034
PAYA LEBAR MRT STATION,34648.6773,33375.7341
SIMEI MRT STATION,41360.6138,36150.3959
ADMIRALTY MRT STATION,24402.1063,46918.1131
YISHUN MRT STATION,28187.6787,45686.0701
PASIR RIS MRT STATION,40903.7716,39443.3983
CLEMENTI MRT STATION,20430.06,33026.6075
ALJUNIED MRT STATION,33518.6049,33190.002
ANG MO KIO MRT STATION,29848.9836,39040.9896
EXPO MRT STATION,42270.6232,35193.6223
CHOA CHU KANG MRT STATION,18097.9271,40811.9589
JURONG EAST MRT STATION,17869.0806,35038.9472
QUEENSTOWN MRT STATION,24946.8083,30804.6785
TUAS LINK MRT STATION,6138.3115,35848.0658
GUL CIRCLE MRT STATION,8772.8552,33530.3675
WOODLANDS MRT STATION,22788.1527,46507.9219
TUAS CRESCENT MRT STATION,7495.531,33698.6818
KALLANG MRT STATION,32236.6038,32643.3302
TUAS WEST ROAD MRT STATION,6442.6401,34689.7988
DOVER MRT STATION,21914.5509,32634.1186
SEMBAWANG MRT STATION,26522.9883,47854.1998
KEMBANGAN MRT STATION,36862.1237,33699.3568
BUKIT BATOK MRT STATION,18679.3541,36795.0141
BOON LAY MRT STATION,13837.9827,35641.9191
BUKIT GOMBAK MRT STATION,18938.3305,37870.6512
MARSILING MRT STATION,21406.6874,46025.7686
BEDOK MRT STATION,38757.952,34024.7048
JOO KOON MRT STATION,10756.3543,34438.2764
LAKESIDE MRT STATION,15494.5171,36267.1619
TANAH MERAH MRT STATION,40578.8616,34379.4144
YIO CHU KANG MRT STATION,29294.1283,40413.082
BRAS BASAH MRT STATION,29930.7674,31025.9016
