Address,Latitude,Longitude
208 ANG MO KIO AVE 1,1.3654677,103.8426847
307C ANG MO KIO AVE 1,1.365584,103.845157
319 ANG MO KIO AVE 1,1.3650738,103.8473951
216 ANG MO KIO AVE 1,1.3662078,103.8414166
556 ANG MO KIO AVE 10,1.3720459,103.8577221
536 ANG MO KIO AVE 10,1.374484,103.8542797
560 ANG MO KIO AVE 10,1.3707919,103.8591716
463 ANG MO KIO AVE 10,1.3669193,103.8574503
476 ANG MO KIO AVE 10,1.3624185,103.8576169
442 ANG MO KIO AVE 10,1.3656873,103.8551856
578 ANG MO KIO AVE 10,1.3718197,103.8549348
442 ANG MO KIO AVE 10,1.3656873,103.8551856
445 ANG MO KIO AVE 10,1.3670033,103.8556385
435 ANG MO KIO AVE 10,1.3677443,103.8541891
442 ANG MO KIO AVE 10,1.3656873,103.8551856
466 ANG MO KIO AVE 10,1.365897,103.8569068
570 ANG MO KIO AVE 3,1.3698332,103.8558859
345 ANG MO KIO AVE 3,1.3675154,103.8497376
213 ANG MO KIO AVE 3,1.367847,103.841097
126 ANG MO KIO AVE 3,1.3716164,103.8435905
587 ANG MO KIO AVE 3,1.3702258,103.8524899
121 ANG MO KIO AVE 3,1.3697115,103.8435905
345 ANG MO KIO AVE 3,1.3675154,103.8497376
212 ANG MO KIO AVE 3,1.3688441,103.8415977
301 ANG MO KIO AVE 3,1.3674265,103.8459457
120 ANG MO KIO AVE 3,1.3701123,103.844328
121 ANG MO KIO AVE 3,1.3697115,103.8435905
121 ANG MO KIO AVE 3,1.3697115,103.8435905
256 ANG MO KIO AVE 4,1.3705997,103.835846
644 ANG MO KIO AVE 4,1.379175,103.8409287
178 ANG MO KIO AVE 4,1.3763449,103.8369782
629 ANG MO KIO AVE 4,1.3801351,103.8404202
155 ANG MO KIO AVE 4,1.3759189,103.839952
502 ANG MO KIO AVE 5,1.3758291,103.8498409
154 ANG MO KIO AVE 5,1.3763186,103.8414166
601 ANG MO KIO AVE 5,1.3810778,103.8351361
535 ANG MO KIO AVE 5,1.3745632,103.8532832
181 ANG MO KIO AVE 5,1.3768568,103.8371593
535 ANG MO KIO AVE 5,1.3745632,103.8532832
533 ANG MO KIO AVE 5,1.3741984,103.8530114
124 ANG MO KIO AVE 6,1.3708768,103.8447681
728 ANG MO KIO AVE 6,1.3727031,103.8456739
650 ANG MO KIO ST 61,1.3776467,103.8426748
650 ANG MO KIO ST 61,1.3776467,103.8426748
207 ANG MO KIO AVE 1,1.3658637,103.8429084
307A ANG MO KIO AVE 1,1.365971,103.844469
310B ANG MO KIO AVE 1,1.3646976,103.8442059
575 ANG MO KIO AVE 10,1.3714234,103.8558242
414 ANG MO KIO AVE 10,1.3640848,103.8536456
536 ANG MO KIO AVE 10,1.374484,103.8542797
473 ANG MO KIO AVE 10,1.3630309,103.8568982
466 ANG MO KIO AVE 10,1.365897,103.8569068
413 ANG MO KIO AVE 10,1.3635721,103.8536456
419 ANG MO KIO AVE 10,1.3654002,103.8541891
559 ANG MO KIO AVE 10,1.3710191,103.8579033
412 ANG MO KIO AVE 10,1.3639288,103.8552762
419 ANG MO KIO AVE 10,1.3654002,103.8541891
325 ANG MO KIO AVE 3,1.3679324,103.8471233
325 ANG MO KIO AVE 3,1.3679324,103.8471233
229 ANG MO KIO AVE 3,1.3690836,103.8382463
427 ANG MO KIO AVE 3,1.3693544,103.8544609
