month,town,flat_type,flat_type_code,block,street_name,Address,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease_nearest_year,remaining_lease,resale_price,latitude,longitude
2020-01,ANG MO KIO,3 ROOM,3.00,208,ANG MO KIO AVE 1,208 ANG MO KIO AVE 1,04 TO 06,73,New Generation,1976,55,55 years 07 months,265000.00,1.3654677,103.8426847
2020-01,ANG MO KIO,3 ROOM,3.00,307C,ANG MO KIO AVE 1,307C ANG MO KIO AVE 1,19 TO 21,70,Model A,2012,91,91 years 08 months,470000.00,1.365584,103.845157
2020-01,ANG MO KIO,3 ROOM,3.00,319,ANG MO KIO AVE 1,319 ANG MO KIO AVE 1,01 TO 03,73,New Generation,1977,56,56 years 04 months,230000.00,1.3650738,103.8473951
2020-01,ANG MO KIO,3 ROOM,3.00,216,ANG MO KIO AVE 1,216 ANG MO KIO AVE 1,04 TO 06,73,New Generation,1976,55,55 years 03 months,280000.00,1.3662078,103.8414166
2020-01,ANG MO KIO,3 ROOM,3.00,556,ANG MO KIO AVE 10,556 ANG MO KIO AVE 10,07 TO 09,68,New Generation,1980,59,59 years 01 month,220000.00,1.3720459,103.8577221
2020-01,ANG MO KIO,3 ROOM,3.00,536,ANG MO KIO AVE 10,536 ANG MO KIO AVE 10,10 TO 12,68,New Generation,1980,59,59 years 01 month,280000.00,1.374484,103.8542797
2020-01,ANG MO KIO,3 ROOM,3.00,560,ANG MO KIO AVE 10,560 ANG MO KIO AVE 10,04 TO 06,67,New Generation,1980,59,59 years 01 month,240000.00,1.3707919,103.8591716
2020-01,ANG MO KIO,3 ROOM,3.00,463,ANG MO KIO AVE 10,463 ANG MO KIO AVE 10,04 TO 06,82,New Generation,1980,59,59 years 02 months,301000.00,1.3669193,103.8574503
2020-01,ANG MO KIO,3 ROOM,3.00,476,ANG MO KIO AVE 10,476 ANG MO KIO AVE 10,01 TO 03,67,New Generation,1979,58,58 years 07 months,255000.00,1.3624185,103.8576169
2020-01,ANG MO KIO,3 ROOM,3.00,442,ANG MO KIO AVE 10,442 ANG MO KIO AVE 10,01 TO 03,67,New Generation,1979,58,58 years 07 months,233000.00,1.3656873,103.8551856
2020-01,ANG MO KIO,3 ROOM,3.00,578,ANG MO KIO AVE 10,578 ANG MO KIO AVE 10,07 TO 09,67,New Generation,1980,59,59 years,250000.00,1.3718197,103.8549348
2020-01,ANG MO KIO,3 ROOM,3.00,442,ANG MO KIO AVE 10,442 ANG MO KIO AVE 10,04 TO 06,67,New Generation,1979,58,58 years 07 months,245000.00,1.3656873,103.8551856
2020-01,ANG MO KIO,3 ROOM,3.00,445,ANG MO KIO AVE 10,445 ANG MO KIO AVE 10,01 TO 03,67,New Generation,1979,58,58 years 07 months,255000.00,1.3670033,103.8556385
2020-01,ANG MO KIO,3 ROOM,3.00,435,ANG MO KIO AVE 10,435 ANG MO KIO AVE 10,04 TO 06,67,New Generation,1979,58,58 years,288000.00,1.3677443,103.8541891
2020-01,ANG MO KIO,3 ROOM,3.00,442,ANG MO KIO AVE 10,442 ANG MO KIO AVE 10,01 TO 03,67,New Generation,1979,58,58 years 07 months,235000.00,1.3656873,103.8551856
2020-01,ANG MO KIO,3 ROOM,3.00,466,ANG MO KIO AVE 10,466 ANG MO KIO AVE 10,07 TO 09,67,New Generation,1984,63,63 years 08 months,268000.00,1.365897,103.8569068
2020-01,ANG MO KIO,3 ROOM,3.00,570,ANG MO KIO AVE 3,570 ANG MO KIO AVE 3,04 TO 06,67,New Generation,1979,58,58 years 05 months,240000.00,1.3698332,103.8558859
2020-01,ANG MO KIO,3 ROOM,3.00,345,ANG MO KIO AVE 3,345 ANG MO KIO AVE 3,04 TO 06,88,New Generation,1978,57,57 years 04 months,320000.00,1.3675154,103.8497376
2020-01,ANG MO KIO,3 ROOM,3.00,213,ANG MO KIO AVE 3,213 ANG MO KIO AVE 3,04 TO 06,67,New Generation,1976,55,55 years 03 months,250000.00,1.367847,103.841097
2020-01,ANG MO KIO,3 ROOM,3.00,126,ANG MO KIO AVE 3,126 ANG MO KIO AVE 3,01 TO 03,67,New Generation,1978,57,57 years 09 months,250000.00,1.3716164,103.8435905
2020-01,ANG MO KIO,3 ROOM,3.00,587,ANG MO KIO AVE 3,587 ANG MO KIO AVE 3,01 TO 03,67,New Generation,1979,58,58 years 05 months,265000.00,1.3702258,103.8524899
2020-01,ANG MO KIO,3 ROOM,3.00,121,ANG MO KIO AVE 3,121 ANG MO KIO AVE 3,10 TO 12,67,New Generation,1978,57,57 years 09 months,300000.00,1.3697115,103.8435905
2020-01,ANG MO KIO,3 ROOM,3.00,345,ANG MO KIO AVE 3,345 ANG MO KIO AVE 3,04 TO 06,73,New Generation,1978,57,57 years 03 months,320000.00,1.3675154,103.8497376
2020-01,ANG MO KIO,3 ROOM,3.00,212,ANG MO KIO AVE 3,212 ANG MO KIO AVE 3,10 TO 12,67,New Generation,1977,56,56 years 03 months,255000.00,1.3688441,103.8415977
2020-01,ANG MO KIO,3 ROOM,3.00,301,ANG MO KIO AVE 3,301 ANG MO KIO AVE 3,04 TO 06,88,New Generation,1978,57,57 years 02 months,355000.00,1.3674265,103.8459457
2020-01,ANG MO KIO,3 ROOM,3.00,120,ANG MO KIO AVE 3,120 ANG MO KIO AVE 3,04 TO 06,67,New Generation,1978,57,57 years 09 months,270000.00,1.3701123,103.844328
2020-01,ANG MO KIO,3 ROOM,3.00,121,ANG MO KIO AVE 3,121 ANG MO KIO AVE 3,04 TO 06,67,New Generation,1978,57,57 years 09 months,283000.00,1.3697115,103.8435905
2020-01,ANG MO KIO,3 ROOM,3.00,121,ANG MO KIO AVE 3,121 ANG MO KIO AVE 3,01 TO 03,67,New Generation,1978,57,57 years 09 months,245000.00,1.3697115,103.8435905
2020-01,ANG MO KIO,3 ROOM,3.00,256,ANG MO KIO AVE 4,256 ANG MO KIO AVE 4,01 TO 03,73,New Generation,1977,56,56 years 07 months,255000.00,1.3705997,103.835846
2020-01,ANG MO KIO,3 ROOM,3.00,644,ANG MO KIO AVE 4,644 ANG MO KIO AVE 4,07 TO 09,75,New Generation,1980,59,59 years 10 months,308000.00,1.379175,103.8409287
2020-01,ANG MO KIO,3 ROOM,3.00,178,ANG MO KIO AVE 4,178 ANG MO KIO AVE 4,04 TO 06,82,New Generation,1981,60,60 years 04 months,302500.00,1.3763449,103.8369782
2020-01,ANG MO KIO,3 ROOM,3.00,629,ANG MO KIO AVE 4,629 ANG MO KIO AVE 4,01 TO 03,68,New Generation,1981,60,60 years 09 months,250000.00,1.3801351,103.8404202
2020-01,ANG MO KIO,3 ROOM,3.00,155,ANG MO KIO AVE 4,155 ANG MO KIO AVE 4,04 TO 06,82,New Generation,1981,60,60 years 04 months,362000.00,1.3759189,103.839952
2020-01,ANG MO KIO,3 ROOM,3.00,502,ANG MO KIO AVE 5,502 ANG MO KIO AVE 5,04 TO 06,82,New Generation,1981,60,60 years 01 month,340000.00,1.3758291,103.8498409
