school_name,address,postal_code,full_address,latitude,longitude,dgp_code,zone_code
ADMIRALTY PRIMARY SCHOOL,11   WOODLANDS CIRCLE,738907,11   WOODLANDS CIRCLE 738907,1.4430507,103.8004349,WOODLANDS,NORTH
AHMAD IBRAHIM PRIMARY SCHOOL,10   YISHUN STREET 11,768643,10   YISHUN STREET 11 768643,1.4337487,103.8330381,YISHUN,NORTH
ALEXANDRA PRIMARY SCHOOL,2A   Prince Charles Crescent,159016,2A   Prince Charles Crescent 159016,1.2912968,103.8235297,BUKIT MERAH,SOUTH
ANCHOR GREEN PRIMARY SCHOOL,31   Anchorvale Drive,544969,31   Anchorvale Drive 544969,1.3909254,103.8874074,SENG KANG,NORTH
ANDERSON PRIMARY SCHOOL,19   ANG MO KIO AVE 9,569785,19   ANG MO KIO AVE 9 569785,1.384692,103.841225,ANG MO KIO,NORTH
ANG MO KIO PRIMARY SCHOOL,20   ANG MO KIO AVENUE 3,569920,20   ANG MO KIO AVENUE 3 569920,1.3693469,103.839815,ANG MO KIO,SOUTH
ANGLO-CHINESE SCHOOL (PRIMARY),50   BARKER ROAD,309918,50   BARKER ROAD 309918,1.3186587,103.8351774,NOVENA,SOUTH
ANGSANA PRIMARY SCHOOL,3    Tampines Street 22,529366,3    Tampines Street 22 529366,1.348251,103.951859,TAMPINES,EAST
BEACON PRIMARY SCHOOL,36   Bukit Panjang Ring Road,679944,36   Bukit Panjang Ring Road 679944,1.384235,103.77377,BUKIT PANJANG,WEST
BEDOK GREEN PRIMARY SCHOOL,1    BEDOK SOUTH AVE 2,469317,1    BEDOK SOUTH AVE 2 469317,1.3237397,103.9380502,BEDOK,EAST
BENDEMEER PRIMARY SCHOOL,91   BENDEMEER ROAD,339948,91   BENDEMEER ROAD 339948,1.3219582,103.8652706,KALLANG,SOUTH
BLANGAH RISE PRIMARY SCHOOL,91   TELOK BLANGAH HEIGHTS,109100,91   TELOK BLANGAH HEIGHTS 109100,1.2762766,103.8084074,BUKIT MERAH,SOUTH
BOON LAY GARDEN PRIMARY SCHOOL,20   BOON LAY DRIVE,649930,20   BOON LAY DRIVE 649930,1.34287,103.712983,JURONG WEST,WEST
BUKIT PANJANG PRIMARY SCHOOL,109  CASHEW ROAD,679676,109  CASHEW ROAD 679676,1.372936,103.7692713,BUKIT PANJANG,WEST
BUKIT TIMAH PRIMARY SCHOOL,111  Lorong Kismis,598112,111  Lorong Kismis 598112,1.337385,103.766768,BUKIT TIMAH,WEST
BUKIT VIEW PRIMARY SCHOOL,18   BUKIT BATOK STREET 21,659634,18   BUKIT BATOK STREET 21 659634,1.3459352,103.75348,BUKIT BATOK,WEST
CANBERRA PRIMARY SCHOOL,21   ADMIRALTY DRIVE,757714,21   ADMIRALTY DRIVE 757714,1.4511784,103.8156488,SEMBAWANG,NORTH
CANOSSA CATHOLIC PRIMARY SCHOOL,1    Sallim Road,387621,1    Sallim Road 387621,1.3261933,103.8822789,GEYLANG,EAST
CANTONMENT PRIMARY SCHOOL,1    Cantonment Close,88256,1    Cantonment Close 88256,1.2754392,103.8400126,BUKIT MERAH,SOUTH
CASUARINA PRIMARY SCHOOL,30   PASIR RIS ST 41,518935,30   PASIR RIS ST 41 518935,1.3725006,103.9570205,PASIR RIS,EAST
CEDAR PRIMARY SCHOOL,15   CEDAR AVENUE,349700,15   CEDAR AVENUE 349700,1.3356131,103.8754605,TOA PAYOH,SOUTH
CHANGKAT PRIMARY SCHOOL,11   SIMEI ST 3,529896,11   SIMEI ST 3 529896,1.3401906,103.9521967,TAMPINES,EAST
CHIJ (KATONG) PRIMARY,17   MARTIA ROAD,424821,17   MARTIA ROAD 424821,1.3064102,103.9109552,BEDOK,EAST
CHIJ PRIMARY (TOA PAYOH),628  Lorong 1 Toa Payoh,319765,628  Lorong 1 Toa Payoh 319765,1.333107,103.841908,TOA PAYOH,SOUTH
CHONGZHENG PRIMARY SCHOOL,1    TAMPINES STREET 21,529392,1    TAMPINES STREET 21 529392,1.350835,103.951438,TAMPINES,EAST
CHUA CHU KANG PRIMARY SCHOOL,20   CHOA CHU KANG AVENUE 2,689905,20   CHOA CHU KANG AVENUE 2 689905,1.3780073,103.7417264,CHOA CHU KANG,WEST
CLEMENTI PRIMARY SCHOOL,8    CLEMENTI AVE 3,129903,8    CLEMENTI AVE 3 129903,1.3155074,103.7632163,CLEMENTI,WEST
