school_name,address,postal_code,full_address,latitude,longitude,dgp_code,zone_code
ADMIRALTY PRIMARY SCHOOL,11   WOODLANDS CIRCLE,738907,11   WOODLANDS CIRCLE 738907,1.4430507,103.8004349,WOODLANDS,NORTH
ADMIRALTY SECONDARY SCHOOL,31   WOODLANDS CRESCENT,737916,31   WOODLANDS CRESCENT 737916,1.4462673,103.8026082,WOODLANDS,NORTH
AHMAD IBRAHIM PRIMARY SCHOOL,10   YISHUN STREET 11,768643,10   YISHUN STREET 11 768643,1.4337487,103.8330381,YISHUN,NORTH
AHMAD IBRAHIM SECONDARY SCHOOL,751  YISHUN AVENUE 7,768928,751  YISHUN AVENUE 7 768928,1.4364306,103.8299804,YISHUN,NORTH
AI TONG SCHOOL,100  Bright Hill Drive,579646,100  Bright Hill Drive 579646,1.360415,103.832615,BISHAN,SOUTH
ALEXANDRA PRIMARY SCHOOL,2A   Prince Charles Crescent,159016,2A   Prince Charles Crescent 159016,1.2912968,103.8235297,BUKIT MERAH,SOUTH
ANCHOR GREEN PRIMARY SCHOOL,31   Anchorvale Drive,544969,31   Anchorvale Drive 544969,1.3909254,103.8874074,SENG KANG,NORTH
ANDERSON PRIMARY SCHOOL,19   ANG MO KIO AVE 9,569785,19   ANG MO KIO AVE 9 569785,1.384692,103.841225,ANG MO KIO,NORTH
ANDERSON SECONDARY SCHOOL,10   ANG MO KIO STREET 53,569206,10   ANG MO KIO STREET 53 569206,1.3754151,103.8516979,ANG MO KIO,NORTH
ANDERSON SERANGOON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6,569843,4500 ANG MO KIO AVENUE 6 569843,1.378043,103.8457619,ANG MO KIO,NORTH
ANG MO KIO PRIMARY SCHOOL,20   ANG MO KIO AVENUE 3,569920,20   ANG MO KIO AVENUE 3 569920,1.3693469,103.839815,ANG MO KIO,SOUTH
ANG MO KIO SECONDARY SCHOOL,6    ANG MO KIO STREET 22,569362,6    ANG MO KIO STREET 22 569362,1.3678468,103.8430018,ANG MO KIO,SOUTH
ANGLICAN HIGH SCHOOL,600  UPPER CHANGI ROAD,487012,600  UPPER CHANGI ROAD 487012,1.3300216,103.942429,BEDOK,EAST
ANGLO-CHINESE JUNIOR COLLEGE,25   DOVER CLOSE EAST,139745,25   DOVER CLOSE EAST 139745,1.3032395,103.7851322,QUEENSTOWN,WEST
ANGLO-CHINESE SCHOOL (BARKER ROAD),60   BARKER ROAD,309919,60   BARKER ROAD 309919,1.3188316,103.8359365,NOVENA,SOUTH
ANGLO-CHINESE SCHOOL (INDEPENDENT),121  DOVER ROAD,139650,121  DOVER ROAD 139650,1.302298,103.7809869,QUEENSTOWN,SOUTH
