Name,Address ,Latitude ,Longitude 
100 AM,100 TRAS STREET 100 AM SINGAPORE 079027,1.2750063,103.8435656
313@Somerset,313 ORCHARD ROAD 313 @ SOMERSET SINGAPORE 238895,1.300898,103.838361
Aperia ,8 KALLANG AVENUE APERIA SINGAPORE 339509,1.3098281,103.8639058
Balestier Hill Shopping Centre ,1 THOMSON ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE,1.3250023,103.8422612
Bugis Cube,470 NORTH BRIDGE ROAD BUGIS CUBE SINGAPORE 188735,1.2981918,103.8556572
Bugis Junction,230 VICTORIA STREET BUGIS JUNCTION SINGAPORE 188024,1.2998409,103.8563631
Bugis+,201 VICTORIA STREET BUGIS+ SINGAPORE 188067,1.2995955,103.8542191
Capitol Piazza,13 STAMFORD ROAD CAPITOL PIAZZA SINGAPORE 178905,1.2929876,103.8511619
Cathay Cineleisure Orchard,8 GRANGE ROAD CATHAY CINELEISURE ORCHARD SINGAPORE 239695,1.3015948,103.836414
Clarke Quay Central,12 EU TONG SEN STREET THE CENTRAL SINGAPORE 059819,1.2880618,103.8462276
The Centrepoint,176A ORCHARD ROAD THE CENTREPOINT SINGAPORE 238844,1.3021165,103.839761
City Square Mall,180 KITCHENER ROAD CITY SQUARE MALL SINGAPORE 208539,1.3111877,103.8566675
City Gate Mall,371 BEACH ROAD CITY GATE SINGAPORE 199597,1.3022965,103.8622714
CityLink Mall,1 RAFFLES LINK CITYLINK MALL SINGAPORE 039393,1.2913085,103.8551998
Duo,7 FRASER STREET DUO GALLERIA SINGAPORE 189356,1.2992641,103.8579913
Far East Plaza,14D SCOTTS ROAD FAR EAST PLAZA SINGAPORE 228217,1.3070854,103.8333034
Funan,107 NORTH BRIDGE ROAD FUNAN SINGAPORE 179105,1.291321,103.8500832
Great World City,1 KIM SENG PROMENADE GREAT WORLD CITY SINGAPORE 237994,1.2936417,103.8319293
HDB Hub,480 LORONG 6 TOA PAYOH HDB HUB SINGAPORE 310480,1.3323583,103.8479611
Holland Village Shopping Mall,211 HOLLAND AVENUE HOLLAND ROAD SHOPPING CENTRE SINGAPORE 278967,1.3104547,103.7954048
ION Orchard,2 ORCHARD TURN ION ORCHARD SINGAPORE 238801,1.3039288,103.8319512
Junction 8,9 BISHAN PLACE JUNCTION 8 SHOPPING CENTRE SINGAPORE 579837,1.3506808,103.8487631
Knightsbridge[1],270 ORCHARD ROAD KNIGHTSBRIDGE SINGAPORE 238857,1.3030644,103.8361853
Liat Towers,541 ORCHARD ROAD LIAT TOWERS SINGAPORE 238881,1.3051925,103.8305905
Lucky Plaza,304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863,1.3045456,103.8339449
Marina Bay Sands,1 BAYFRONT AVENUE MARINA BAY SANDS SINGAPORE 018971,1.2821333,103.8586374
The Shoppes at Marina Bay Sands,2 BAYFRONT AVENUE THE SHOPPES AT MARINA BAY SANDS SINGAPORE 018972,1.2788703,103.8570997
Marina Bay Financial Centre Tower 3,12 MARINA BOULEVARD MARINA BAY FINANCIAL CENTRE (TOWER 3) SINGAPORE 018982,1.2790221,103.8544967
Marina Bay Link Mall,8A MARINA BOULEVARD MARINA BAY LINK MALL SINGAPORE 018984,1.2795303,103.8543391
Marina One,5 STRAITS VIEW THE HEART SINGAPORE 018935,1.277641,103.8527785
Marina Square,7 RAFFLES BOULEVARD MARINA SQUARE SINGAPORE 039595,1.2924176,103.8585852
Millenia Walk,9 RAFFLES BOULEVARD MILLENIA WALK SINGAPORE 039596,1.2928181,103.8598344
Mustafa Shopping Centre,145 SYED ALWI ROAD MUSTAFA CENTRE SINGAPORE 207704,1.3097877,103.8555583
Ngee Ann City,391B ORCHARD ROAD NGEE ANN CITY SINGAPORE 238874,1.3025572,103.834568
Orchard Central,181 ORCHARD ROAD ORCHARD CENTRAL SINGAPORE 238896,1.3006295,103.8398742
Orchard Gateway,277 ORCHARD ROAD ORCHARD GATEWAY SINGAPORE 238858,1.3009584,103.8389111
Orchard Plaza,150 ORCHARD ROAD ORCHARD PLAZA SINGAPORE 238841,1.3010249,103.8410995
Midpoint Orchard,220 ORCHARD ROAD MIDPOINT ORCHARD SINGAPORE 238852,1.3015694,103.8386083
Orchard Shopping Centre,321 ORCHARD ROAD ORCHARD SHOPPING CENTRE SINGAPORE 238866,1.3015019,103.8378442
Palais Renaissance,390 ORCHARD ROAD PALAIS RENAISSANCE SINGAPORE 238871,1.3067391,103.829583
People's Park Centre,101 UPPER CROSS STREET PEOPLE'S PARK CENTRE SINGAPORE 058357,1.2857964,103.8440022
People's Park Complex,1 PARK ROAD PEOPLE'S PARK COMPLEX SINGAPORE 059108,1.2841977,103.8425488
Plaza Singapura,68 ORCHARD ROAD PLAZA SINGAPURA SINGAPORE 238839,1.3005317,103.8452356
PoMo,1 SELEGIE ROAD GR.ID SINGAPORE 188306,1.3001949,103.8492265
Raffles City,250 NORTH BRIDGE ROAD RAFFLES CITY TOWER SINGAPORE 179101,1.2938391,103.8527828
Scotts Square,8 SCOTTS ROAD SCOTTS SQUARE SINGAPORE 228238,1.3057686,103.8330781
Serangoon Plaza,320 SERANGOON ROAD SERANGOON PLAZA SINGAPORE 218108,1.3108903,103.8552353
Shaw House and Centre,350 ORCHARD ROAD SHAW HOUSE SINGAPORE 238868,1.305645,103.8315277
Sim Lim Square,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504,1.3030433,103.8529208
Singapore Shopping Centre,190 CLEMENCEAU AVENUE SINGAPORE SHOPPING CENTRE SINGAPORE 239924,1.2980833,103.8440979
The South Beach,38 BEACH ROAD THE SOUTH BEACH SINGAPORE 189767,1.2955983,103.8563967
Square 2,10 SINARAN DRIVE SQUARE 2 SINGAPORE 307506,1.3208322,103.8441474
Suntec City,3 TEMASEK BOULEVARD SUNTEC CITY MALL SINGAPORE 038983,1.29503,103.8583026
Tanglin Mall,163 TANGLIN ROAD TANGLIN MALL SINGAPORE 247933,1.3050606,103.8238701
Tangs,320 ORCHARD ROAD TANG PLAZA SINGAPORE 238865,1.3051366,103.8330358
Tanjong Pagar Centre,5 WALLICH STREET TANJONG PAGAR CENTRE SINGAPORE 078883,1.2765378,103.8462206
Tekka Centre,665 BUFFALO ROAD ZHUJIAO CENTRE (TEKKA MARKET) SINGAPORE 210665,1.30642,103.8507835
The Paragon,290 ORCHARD ROAD THE PARAGON SINGAPORE 238859,1.3038699,103.8357982
Tiong Bahru Plaza,302 TIONG BAHRU ROAD TIONG BAHRU PLAZA SINGAPORE 168732,1.2864763,103.8271508
The Poiz [2],51 UPPER SERANGOON ROAD THE POIZ CENTRE SINGAPORE 347697,1.3320275,103.8686853
Thomson Plaza,4F MARIGOLD DRIVE THOMSON PLAZA SINGAPORE 576391,1.354316,103.830345
"United Square, The Kids Learning Mall",101 THOMSON ROAD UNITED SQUARE SINGAPORE 307591,1.3172768,103.8436682
Velocity,238B THOMSON ROAD VELOCITY @ NOVENA SQUARE SINGAPORE 307685,1.319334,103.8441824
Wheelock Place,501 ORCHARD ROAD WHEELOCK PLACE SINGAPORE 238880,1.3047145,103.8305375
Wisma Atria,435 ORCHARD ROAD WISMA ATRIA SINGAPORE 238877,1.303841,103.8330524
Zhongshan Mall,20 AH HOOD ROAD ZHONGSHAN MALL SINGAPORE 329984,1.3270618,103.8464431
White Sands,1 PASIR RIS CENTRAL STREET 3 WHITE SANDS SINGAPORE 518457,1.3724166,103.9496584
Downtown East,1 PASIR RIS CLOSE DOWNTOWN EAST SINGAPORE 519599,1.3776279,103.9546233
Century Square,2 TAMPINES CENTRAL 5 CENTURY SQUARE SINGAPORE 529509,1.3523888,103.9438567
Tampines 1,10 TAMPINES CENTRAL 1 TAMPINES ONE SINGAPORE 529536,1.354212,103.9450352
Tampines Mall,4 TAMPINES CENTRAL 5 TAMPINES MALL SINGAPORE 529510,1.3524936,103.9447179
Our Tampines Hub,1 TAMPINES WALK OUR TAMPINES HUB SINGAPORE 528523,1.3529604,103.9403451
Changi Airport,65 AIRPORT BOULEVARD CHANGI AIRPORT TERMINAL 3 BUILDING SINGAPORE 819663,1.3555805,103.9861962
Changi City Point,5 CHANGI BUSINESS PARK CENTRAL 1 CHANGI CITY POINT SINGAPORE 486038,1.334638,103.9623868
Djitsun Mall Bedok,445 BEDOK NORTH STREET 1 DJITSUN MALL BEDOK SINGAPORE 469661,1.3262627,103.9294958
Eastpoint Mall,3 SIMEI STREET 6 EASTPOINT MALL SINGAPORE 528833,1.3427145,103.9530415
Bedok Mall,311 NEW UPPER CHANGI ROAD BEDOK MALL SINGAPORE 467360,1.3245781,103.9296683
Bedok Point,799 NEW UPPER CHANGI ROAD BEDOK POINT SINGAPORE 467351,1.3249396,103.9324355
Paya Lebar Square,60 PAYA LEBAR ROAD PAYA LEBAR SQUARE SINGAPORE 409051,1.3187541,103.8925678
Singapore Post Centre (Singpost Centre),10 EUNOS ROAD 8 SINGAPORE POST CENTRE SINGAPORE 408600,1.3190065,103.8943833
PLQ Mall,10 PAYA LEBAR ROAD PLQ MALL SINGAPORE 409057,1.316608,103.8924804
KINEX (formerly One KM Mall),11 TANJONG KATONG ROAD KINEX SINGAPORE 437157,1.3147221,103.8947554
Katong Shopping Centre,865 MOUNTBATTEN ROAD KATONG SHOPPING CENTRE SINGAPORE 437844,1.303903,103.9011732
Roxy Square,50 EAST COAST ROAD ROXY SQUARE SINGAPORE 428769,1.3032177,103.9047014
112 Katong,112 EAST COAST ROAD 112 KATONG SINGAPORE 428802,1.3052204,103.905072
Parkway Parade,80 MARINE PARADE ROAD PARKWAY PARADE SINGAPORE 449269,1.3013366,103.9052333
City Plaza,810 GEYLANG ROAD CITY PLAZA SINGAPORE 409286,1.3147644,103.893408
Katong Square,88 EAST COAST ROAD KATONG SQUARE SINGAPORE 423371,1.3047255,103.9046894
Katong V,30 EAST COAST ROAD KATONG V SINGAPORE 428751,1.3036204,103.9029678
Kallang Wave Mall,1 STADIUM PLACE KALLANG WAVE MALL SINGAPORE 397628,1.3032243,103.8728714
Leisure Park Kallang,5 STADIUM WALK LEISURE PARK KALLANG SINGAPORE 397693,1.3022222,103.8763889
East Village,430 UPPER CHANGI ROAD EAST VILLAGE SINGAPORE 487048,1.3318464,103.9463496
Elias Mall,625 ELIAS ROAD ELIAS MALL SINGAPORE 510625,1.3786144,103.9420438
Loyang Point,259 PASIR RIS STREET 21 LOYANG POINT SINGAPORE 510259,1.3668085,103.9645691
The Flow,66 EAST COAST ROAD THE FLOW MALL SINGAPORE 428778,1.3048951,103.9039944
Jewel Changi Airport,78 AIRPORT BOULEVARD JEWEL CHANGI AIRPORT SINGAPORE 819666,1.3602082,103.9897593
888 Plaza,888 WOODLANDS DRIVE 50 888 PLAZA SINGAPORE 730888,1.4376669,103.7951408
AMK Hub,53 ANG MO KIO AVENUE 3 AMK HUB SINGAPORE 569933,1.36953,103.8484398
Canberra Plaza,133 CANBERRA VIEW CANBERRA PLAZA SINGAPORE 750133,1.443256,103.830463
Causeway Point,1 WOODLANDS SQUARE CAUSEWAY POINT SINGAPORE 738099,1.4360933,103.7859471
Broadway Plaza,4190 ANG MO KIO AVENUE 6 BROADWAY PLAZA SINGAPORE 569841,1.3719492,103.8459995
Djitsun Mall,445 BEDOK NORTH STREET 1 DJITSUN MALL BEDOK SINGAPORE 469661,1.3262627,103.9294958
Jubilee Square,"61 Ang Mo Kio Ave 8, Singapore 569814",1.3717025,103.8476215
Junction 9,18 YISHUN AVENUE 9 JUNCTION NINE SINGAPORE 768897,1.4331427,103.8415583
Marsiling Mall,4 WOODLANDS STREET 12 MARSILING MALL HAWKER CENTRE SINGAPORE 738623,1.4335076,103.7798639
Northpoint City,930 YISHUN AVENUE 2 NORTHPOINT CITY SINGAPORE 769098,1.4279686,103.8364152
Sembawang Shopping Centre,604 SEMBAWANG ROAD SEMBAWANG SHOPPING CENTRE SINGAPORE 758459,1.4419459,103.8250936
Sun Plaza,30 SEMBAWANG DRIVE SUN PLAZA SINGAPORE 757713,1.4482678,103.8196887
Wisteria Mall,598 YISHUN RING ROAD WISTERIA MALL SINGAPORE 768698,1.4180753,103.8407518
Woodlands Mart,768 WOODLANDS AVENUE 6 WOODLANDS MART SINGAPORE 730768,1.4460087,103.7978603
Waterway Point,83 PUNGGOL CENTRAL WATERWAY POINT SINGAPORE 828761,1.40669,103.9021738
Compass One,1 SENGKANG SQUARE COMPASS ONE SINGAPORE 545078,1.3924343,103.8954118
Hougang Mall,90 HOUGANG AVENUE 10 HOUGANG MALL SINGAPORE 538766,1.3725894,103.8937225
Heartland Mall,205 HOUGANG STREET 21 HEARTLAND MALL-KOVAN SINGAPORE 530205,1.359469,103.8851289
NEX,23 SERANGOON CENTRAL NEX SINGAPORE 556083,1.3507723,103.8722585
Greenwich V,1 SELETAR ROAD GREENWICH V SINGAPORE 807011,1.3873705,103.8694069
Hougang 1,1 HOUGANG STREET 91 HOUGANG 1 SINGAPORE 538692,1.3758021,103.8794307
Hougang Green Shopping Mall,21 HOUGANG STREET 51 HOUGANG GREEN SHOPPING MALL SINGAPORE 538719,1.3796363,103.8882148
myVillage @ Serangoon,"1 Maju Ave, Singapore 556679",1.3650428,103.8651508
Oasis Terraces,681 PUNGGOL DRIVE OASIS TERRACES SINGAPORE 820681,1.4023703,103.9132022
Punggol Plaza,168 PUNGGOL FIELD PUNGGOL PLAZA SINGAPORE 820168,1.394228,103.913016
Rivervale Mall,11 RIVERVALE CRESCENT RIVERVALE MALL SINGAPORE 545082,1.3919537,103.9047236
