X,Y,month,town,flat_type,block,street_name,address,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
103.8426847,1.3654677,2020-01,ANG MO KIO,3 ROOM,"208",ANG MO KIO AVE 1,208 ANG MO KIO AVE 1,04 TO 06,"73",New Generation,"1976",55 years 07 months,"265000"
103.845157,1.365584,2020-01,ANG MO KIO,3 ROOM,307C,ANG MO KIO AVE 1,307C ANG MO KIO AVE 1,19 TO 21,"70",Model A,"2012",91 years 08 months,"470000"
103.8473951,1.3650738,2020-01,ANG MO KIO,3 ROOM,"319",ANG MO KIO AVE 1,319 ANG MO KIO AVE 1,01 TO 03,"73",New Generation,"1977",56 years 04 months,"230000"
103.8414166,1.3662078,2020-01,ANG MO KIO,3 ROOM,"216",ANG MO KIO AVE 1,216 ANG MO KIO AVE 1,04 TO 06,"73",New Generation,"1976",55 years 03 months,"280000"
103.8577221,1.3720459,2020-01,ANG MO KIO,3 ROOM,"556",ANG MO KIO AVE 10,556 ANG MO KIO AVE 10,07 TO 09,"68",New Generation,"1980",59 years 01 month,"220000"
103.8542797,1.374484,2020-01,ANG MO KIO,3 ROOM,"536",ANG MO KIO AVE 10,536 ANG MO KIO AVE 10,10 TO 12,"68",New Generation,"1980",59 years 01 month,"280000"
103.8591716,1.3707919,2020-01,ANG MO KIO,3 ROOM,"560",ANG MO KIO AVE 10,560 ANG MO KIO AVE 10,04 TO 06,"67",New Generation,"1980",59 years 01 month,"240000"
103.8574503,1.3669193,2020-01,ANG MO KIO,3 ROOM,"463",ANG MO KIO AVE 10,463 ANG MO KIO AVE 10,04 TO 06,"82",New Generation,"1980",59 years 02 months,"301000"
103.8576169,1.3624185,2020-01,ANG MO KIO,3 ROOM,"476",ANG MO KIO AVE 10,476 ANG MO KIO AVE 10,01 TO 03,"67",New Generation,"1979",58 years 07 months,"255000"
103.8551856,1.3656873,2020-01,ANG MO KIO,3 ROOM,"442",ANG MO KIO AVE 10,442 ANG MO KIO AVE 10,01 TO 03,"67",New Generation,"1979",58 years 07 months,"233000"
103.8549348,1.3718197,2020-01,ANG MO KIO,3 ROOM,"578",ANG MO KIO AVE 10,578 ANG MO KIO AVE 10,07 TO 09,"67",New Generation,"1980",59 years,"250000"
103.8551856,1.3656873,2020-01,ANG MO KIO,3 ROOM,"442",ANG MO KIO AVE 10,442 ANG MO KIO AVE 10,04 TO 06,"67",New Generation,"1979",58 years 07 months,"245000"
103.8556385,1.3670033,2020-01,ANG MO KIO,3 ROOM,"445",ANG MO KIO AVE 10,445 ANG MO KIO AVE 10,01 TO 03,"67",New Generation,"1979",58 years 07 months,"255000"
103.8541891,1.3677443,2020-01,ANG MO KIO,3 ROOM,"435",ANG MO KIO AVE 10,435 ANG MO KIO AVE 10,04 TO 06,"67",New Generation,"1979",58 years,"288000"
103.8551856,1.3656873,2020-01,ANG MO KIO,3 ROOM,"442",ANG MO KIO AVE 10,442 ANG MO KIO AVE 10,01 TO 03,"67",New Generation,"1979",58 years 07 months,"235000"
103.8569068,1.365897,2020-01,ANG MO KIO,3 ROOM,"466",ANG MO KIO AVE 10,466 ANG MO KIO AVE 10,07 TO 09,"67",New Generation,"1984",63 years 08 months,"268000"
103.8558859,1.3698332,2020-01,ANG MO KIO,3 ROOM,"570",ANG MO KIO AVE 3,570 ANG MO KIO AVE 3,04 TO 06,"67",New Generation,"1979",58 years 05 months,"240000"
103.8497376,1.3675154,2020-01,ANG MO KIO,3 ROOM,"345",ANG MO KIO AVE 3,345 ANG MO KIO AVE 3,04 TO 06,"88",New Generation,"1978",57 years 04 months,"320000"
103.841097,1.367847,2020-01,ANG MO KIO,3 ROOM,"213",ANG MO KIO AVE 3,213 ANG MO KIO AVE 3,04 TO 06,"67",New Generation,"1976",55 years 03 months,"250000"
103.8435905,1.3716164,2020-01,ANG MO KIO,3 ROOM,"126",ANG MO KIO AVE 3,126 ANG MO KIO AVE 3,01 TO 03,"67",New Generation,"1978",57 years 09 months,"250000"
103.8524899,1.3702258,2020-01,ANG MO KIO,3 ROOM,"587",ANG MO KIO AVE 3,587 ANG MO KIO AVE 3,01 TO 03,"67",New Generation,"1979",58 years 05 months,"265000"
103.8435905,1.3697115,2020-01,ANG MO KIO,3 ROOM,"121",ANG MO KIO AVE 3,121 ANG MO KIO AVE 3,10 TO 12,"67",New Generation,"1978",57 years 09 months,"300000"
103.8497376,1.3675154,2020-01,ANG MO KIO,3 ROOM,"345",ANG MO KIO AVE 3,345 ANG MO KIO AVE 3,04 TO 06,"73",New Generation,"1978",57 years 03 months,"320000"
103.8415977,1.3688441,2020-01,ANG MO KIO,3 ROOM,"212",ANG MO KIO AVE 3,212 ANG MO KIO AVE 3,10 TO 12,"67",New Generation,"1977",56 years 03 months,"255000"
103.8459457,1.3674265,2020-01,ANG MO KIO,3 ROOM,"301",ANG MO KIO AVE 3,301 ANG MO KIO AVE 3,04 TO 06,"88",New Generation,"1978",57 years 02 months,"355000"
103.844328,1.3701123,2020-01,ANG MO KIO,3 ROOM,"120",ANG MO KIO AVE 3,120 ANG MO KIO AVE 3,04 TO 06,"67",New Generation,"1978",57 years 09 months,"270000"
103.8435905,1.3697115,2020-01,ANG MO KIO,3 ROOM,"121",ANG MO KIO AVE 3,121 ANG MO KIO AVE 3,04 TO 06,"67",New Generation,"1978",57 years 09 months,"283000"
103.8435905,1.3697115,2020-01,ANG MO KIO,3 ROOM,"121",ANG MO KIO AVE 3,121 ANG MO KIO AVE 3,01 TO 03,"67",New Generation,"1978",57 years 09 months,"245000"
103.835846,1.3705997,2020-01,ANG MO KIO,3 ROOM,"256",ANG MO KIO AVE 4,256 ANG MO KIO AVE 4,01 TO 03,"73",New Generation,"1977",56 years 07 months,"255000"
103.8409287,1.379175,2020-01,ANG MO KIO,3 ROOM,"644",ANG MO KIO AVE 4,644 ANG MO KIO AVE 4,07 TO 09,"75",New Generation,"1980",59 years 10 months,"308000"
103.8369782,1.3763449,2020-01,ANG MO KIO,3 ROOM,"178",ANG MO KIO AVE 4,178 ANG MO KIO AVE 4,04 TO 06,"82",New Generation,"1981",60 years 04 months,"302500"
103.8404202,1.3801351,2020-01,ANG MO KIO,3 ROOM,"629",ANG MO KIO AVE 4,629 ANG MO KIO AVE 4,01 TO 03,"68",New Generation,"1981",60 years 09 months,"250000"
103.839952,1.3759189,2020-01,ANG MO KIO,3 ROOM,"155",ANG MO KIO AVE 4,155 ANG MO KIO AVE 4,04 TO 06,"82",New Generation,"1981",60 years 04 months,"362000"
103.8498409,1.3758291,2020-01,ANG MO KIO,3 ROOM,"502",ANG MO KIO AVE 5,502 ANG MO KIO AVE 5,04 TO 06,"82",New Generation,"1981",60 years 01 month,"340000"
103.8414166,1.3763186,2020-01,ANG MO KIO,3 ROOM,"154",ANG MO KIO AVE 5,154 ANG MO KIO AVE 5,07 TO 09,"68",New Generation,"1981",60 years 01 month,"278000"
103.8351361,1.3810778,2020-01,ANG MO KIO,3 ROOM,"601",ANG MO KIO AVE 5,601 ANG MO KIO AVE 5,07 TO 09,"67",New Generation,"1980",59 years 06 months,"280000"
103.8532832,1.3745632,2020-01,ANG MO KIO,3 ROOM,"535",ANG MO KIO AVE 5,535 ANG MO KIO AVE 5,07 TO 09,"67",New Generation,"1980",59 years 01 month,"246100"
103.8371593,1.3768568,2020-01,ANG MO KIO,3 ROOM,"181",ANG MO KIO AVE 5,181 ANG MO KIO AVE 5,07 TO 09,"68",New Generation,"1981",60 years 03 months,"245000"
103.8532832,1.3745632,2020-01,ANG MO KIO,3 ROOM,"535",ANG MO KIO AVE 5,535 ANG MO KIO AVE 5,07 TO 09,"67",New Generation,"1980",59 years 01 month,"318000"
103.8530114,1.3741984,2020-01,ANG MO KIO,3 ROOM,"533",ANG MO KIO AVE 5,533 ANG MO KIO AVE 5,01 TO 03,"67",New Generation,"1980",59 years 01 month,"223000"
103.8447681,1.3708768,2020-01,ANG MO KIO,3 ROOM,"124",ANG MO KIO AVE 6,124 ANG MO KIO AVE 6,04 TO 06,"67",New Generation,"1979",58 years,"260000"
103.8456739,1.3727031,2020-01,ANG MO KIO,3 ROOM,"728",ANG MO KIO AVE 6,728 ANG MO KIO AVE 6,01 TO 03,"82",New Generation,"1980",59 years 09 months,"305000"
103.8426748,1.3776467,2020-01,ANG MO KIO,3 ROOM,"650",ANG MO KIO ST 61,650 ANG MO KIO ST 61,19 TO 21,"67",Model A,"2015",94 years 11 months,"458888"
103.8426748,1.3776467,2020-01,ANG MO KIO,3 ROOM,"650",ANG MO KIO ST 61,650 ANG MO KIO ST 61,10 TO 12,"67",Model A,"2015",94 years 11 months,"423000"
103.8429084,1.3658637,2020-01,ANG MO KIO,4 ROOM,"207",ANG MO KIO AVE 1,207 ANG MO KIO AVE 1,04 TO 06,"98",New Generation,"1976",55 years 07 months,"370000"
103.844469,1.365971,2020-01,ANG MO KIO,4 ROOM,307A,ANG MO KIO AVE 1,307A ANG MO KIO AVE 1,16 TO 18,"97",Model A,"2012",91 years 08 months,"715000"
103.8442059,1.3646976,2020-01,ANG MO KIO,4 ROOM,310B,ANG MO KIO AVE 1,310B ANG MO KIO AVE 1,13 TO 15,"94",Model A,"2012",91 years 08 months,"660000"
103.8558242,1.3714234,2020-01,ANG MO KIO,4 ROOM,"575",ANG MO KIO AVE 10,575 ANG MO KIO AVE 10,01 TO 03,"91",New Generation,"1980",59 years 01 month,"360000"
103.8536456,1.3640848,2020-01,ANG MO KIO,4 ROOM,"414",ANG MO KIO AVE 10,414 ANG MO KIO AVE 10,10 TO 12,"92",New Generation,"1979",58 years 08 months,"383000"
103.8542797,1.374484,2020-01,ANG MO KIO,4 ROOM,"536",ANG MO KIO AVE 10,536 ANG MO KIO AVE 10,07 TO 09,"93",New Generation,"1980",59 years 02 months,"383000"
